Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_007.jpg;0;1;0;3.488612;104.9386;92.453;0.7761466;40.6447;359.5689
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_057.jpg;0;1;0;3.527744;105.102;92.59403;1.011727;40.66594;359.7449
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_107.jpg;0;1;0;3.553159;105.2119;92.68901;1.175268;40.6848;359.8618
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_157.jpg;0;1;0;3.591545;105.3784;92.83224;1.408604;40.69854;-0.0001521244
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_207.jpg;0;1;0;3.616496;105.4901;92.92642;1.476105;40.67204;-0.002539859
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_257.jpg;0;1;0;3.66313;105.6574;93.06812;1.436938;40.67108;-0.0016949
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_307.jpg;-1.506844;1;0;3.690355;105.77;93.16333;1.40543;40.61634;-0.0005800469
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_357.jpg;-3.746022;1;0;3.728268;105.9413;93.30669;1.379675;40.31798;0.0004571682
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_406.jpg;-5.998649;1;0;3.753085;106.0575;93.40208;1.373799;39.91444;0.0008681638
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_457.jpg;-8.245419;1;0;3.78954;106.2352;93.54415;1.376234;39.00133;359.9856
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_506.jpg;-8.964136;1;0;3.812612;106.3561;93.63727;1.365114;38.17786;359.9413
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_557.jpg;-6.70314;1;0;3.850218;106.5399;93.7756;1.302986;36.93805;359.8771
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_606.jpg;-4.469579;1;0;3.876288;106.6637;93.86738;1.235386;36.26353;359.8463
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_656.jpg;-2.209913;1;0;3.915521;106.8523;94.00452;1.132644;35.56047;359.7876
